Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
GBNK,Guaranty Bancorp,16.62,$362.16M,n/a,Finance,Major Banks
GFED,"Guaranty Federal Bancshares, Inc.",15.76,$69.84M,n/a,Finance,Major Banks
GUID,"Guidance Software, Inc.",5.28,$169.56M,2006,Technology,Computer Software: Prepackaged Software
GIFI,"Gulf Island Fabrication, Inc.",6.69,$97.88M,1997,Capital Goods,Metal Fabrications
GURE,"Gulf Resources, Inc.",1.55,$71.31M,n/a,Basic Industries,Major Chemicals
GPOR,Gulfport Energy Corporation,30.27,$3.79B,n/a,Energy,Oil & Gas Production
GWPH,GW Pharmaceuticals Plc,77.62,$1.69B,2013,Health Care,Major Pharmaceuticals
GWGH,"GWG Holdings, Inc",6.532,$38.81M,2014,Finance,Life Insurance
GYRO,"Gyrodyne , LLC",27.99,$41.5M,n/a,Consumer Services,Building operators
HEES,"H&E Equipment Services, Inc.",18.84,$668.13M,2006,n/a,n/a
HLG,Hailiang Education Group Inc.,9.03,$218.9M,2015,Consumer Services,Other Consumer Services
HNRG,Hallador Energy Company,4.86,$142.16M,n/a,Energy,Coal Mining
HALL,"Hallmark Financial Services, Inc.",10.85,$204.97M,n/a,Finance,Property-Casualty Insurers
HALO,"Halozyme Therapeutics, Inc.",8.63,$1.11B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HBK,"Hamilton Bancorp, Inc.",13.56,$46.34M,2012,Finance,Savings Institutions
HMPR,Hampton Roads Bankshares Inc,1.81,$310.1M,n/a,Finance,Major Banks
HBHC,Hancock Holding Company,25.61,$1.98B,n/a,Finance,Major Banks
HBHCL,Hancock Holding Company,25.47,n/a,n/a,Finance,Major Banks
HNH,Handy & Harman Ltd.,26.16,$320.82M,n/a,Capital Goods,Industrial Specialties
HAFC,Hanmi Financial Corporation,22.36,$721.14M,n/a,Finance,Major Banks
HNSN,"Hansen Medical, Inc.",4,$75.96M,2006,Health Care,Industrial Specialties
HQCL,"Hanwha Q CELLS Co., Ltd. ",11.44,$961.14M,n/a,Technology,Semiconductors
HDNG,"Hardinge, Inc.",10.93,$140.67M,1995,Capital Goods,Industrial Machinery/Components
HLIT,Harmonic Inc.,3.11,$240.4M,1995,Technology,Radio And Television Broadcasting And Communications Equipment
HRMN,Harmony Merger Corp.,9.9,$149.34M,2015,Finance,Business Services
HRMNU,Harmony Merger Corp.,10.1,n/a,2015,Finance,Business Services
HRMNW,Harmony Merger Corp.,0.18,n/a,2015,Finance,Business Services
TINY,"Harris & Harris Group, Inc.",1.7,$52.44M,n/a,Finance,Finance/Investors Services
HBIO,"Harvard Bioscience, Inc.",2.81,$95.66M,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments
HCAP,Harvest Capital Credit Corporation,12.37,$77.66M,n/a,n/a,n/a
HCAPL,Harvest Capital Credit Corporation,25.45,n/a,n/a,n/a,n/a
HAS,"Hasbro, Inc.",84.5,$10.54B,n/a,Consumer Non-Durables,Recreational Products/Toys
HA,"Hawaiian Holdings, Inc.",42.83,$2.3B,n/a,Transportation,Air Freight/Delivery Services
HCOM,"Hawaiian Telcom Holdco, Inc.",21.16,$243.59M,n/a,Consumer Services,Telecommunications Equipment
HWKN,"Hawkins, Inc.",38.75,$409.41M,n/a,Consumer Durables,Specialty Chemicals
HWBK,"Hawthorn Bancshares, Inc.",14.65,$79.71M,n/a,Finance,Major Banks
HAYN,"Haynes International, Inc.",30.3,$378.49M,2007,Capital Goods,Steel/Iron Ore
HDS,"HD Supply Holdings, Inc.",33.23,$6.67B,2013,Consumer Services,Office Equipment/Supplies/Services
HIIQ,"Health Insurance Innovations, Inc.",6.31,$93.08M,2013,Finance,Specialty Insurers
HCSG,"Healthcare Services Group, Inc.",37.7,$2.73B,1983,Health Care,Hospital/Nursing Management
HQY,"HealthEquity, Inc.",24.7,$1.43B,2014,Miscellaneous,Business Services
HSTM,"HealthStream, Inc.",22.37,$709.79M,2000,Technology,"Computer Software: Programming, Data Processing"
HWAY,"Healthways, Inc.",12.02,$434.4M,n/a,Health Care,Hospital/Nursing Management
HTLD,"Heartland Express, Inc.",17.73,$1.48B,1986,Transportation,Trucking Freight/Courier Services
HTLF,"Heartland Financial USA, Inc.",33.7,$826.38M,n/a,Finance,Major Banks
HTWR,"Heartware International, Inc.",26.66,$467.63M,n/a,Health Care,Medical/Dental Instruments
HTBX,"Heat Biologics, Inc.",0.575,$4.84M,2013,Health Care,Major Pharmaceuticals
HSII,"Heidrick & Struggles International, Inc.",18.82,$349.13M,1999,Technology,Diversified Commercial Services
HELE,Helen of Troy Limited,98.9,$2.74B,n/a,Consumer Durables,Home Furnishings
HMNY,Helios and Matheson Analytics Inc,1.33,$3.1M,n/a,Consumer Services,Other Consumer Services
HMTV,"Hemisphere Media Group, Inc.",11.65,$531.97M,n/a,Consumer Services,Television Services
HNNA,"Hennessy Advisors, Inc.",34.97,$177.18M,n/a,Finance,Investment Managers
HCAC,Hennessy Capital Acquisition Corp. II,9.81,$244.76M,2015,Finance,Business Services
HCACU,Hennessy Capital Acquisition Corp. II,10,n/a,2015,Finance,Business Services
HCACW,Hennessy Capital Acquisition Corp. II,0.28,n/a,2015,Finance,Business Services
HSIC,"Henry Schein, Inc.",171.38,$14.06B,1995,Health Care,Medical Specialities
HERO,"Hercules Offshore, Inc.",1.22,$24.39M,n/a,Energy,Oil & Gas Production
HTBK,Heritage Commerce Corp,10.45,$336.19M,n/a,Finance,Major Banks
HFWA,Heritage Financial Corporation,17.5,$524.5M,n/a,Finance,Banks
HEOP,Heritage Oaks Bancorp,8.19,$280.06M,n/a,Finance,Major Banks
HCCI,"Heritage-Crystal Clean, Inc.",10.06,$225.04M,2008,Basic Industries,Miscellaneous
MLHR,"Herman Miller, Inc.",30.33,$1.82B,n/a,Consumer Durables,Office Equipment/Supplies/Services
HRTX,"Heron Therapeutics, Inc.  ",15.99,$586.16M,n/a,Health Care,Major Pharmaceuticals
HSKA,Heska Corporation,38.25,$253.23M,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HFFC,HF Financial Corp.,20.04,$141.74M,n/a,Finance,Savings Institutions
HIBB,"Hibbett Sports, Inc.",34.18,$780.26M,1996,Consumer Services,Other Specialty Stores
HPJ,Highpower International Inc,1.85,$27.94M,n/a,Miscellaneous,Industrial Machinery/Components
HIHO,Highway Holdings Limited,4.5,$17.11M,n/a,Capital Goods,Metal Fabrications
HIMX,"Himax Technologies, Inc.",10.76,$1.85B,2006,Technology,Semiconductors
HIFS,Hingham Institution for Savings,128.31,$273.14M,n/a,n/a,n/a
HSGX,Histogenics Corporation,1.43,$18.98M,2014,Health Care,Industrial Specialties
