,Date,Price,Signal,
BANX,7/8/2014,26.12,SELL,94.39
BANX,7/2/2014,26.33,BUY,95.34
BANX,6/30/2014,25.49,SHORT,98.98
BANX,6/26/2014,25.485,BUY,99.36
BANX,6/12/2014,25.7101,SELL,99.56
BANX,6/4/2014,25.7199,BUY,99.8
,,,,
BASI,5/25/2016,1.007,BUY,121.54
BASI,5/12/2016,1.0087,SHORT,121.82
BASI,5/10/2016,1.0214,BUY,123.85
BASI,5/2/2016,1.01,SHORT,125.77
BASI,4/25/2016,1.064,BUY,133.03
BASI,4/18/2016,1.066,SHORT,133.31
BASI,4/13/2016,1.0775,BUY,135.29
BASI,4/4/2016,1.1685,SHORT,126.02
BASI,3/31/2016,1.1615,BUY,125.77
BASI,10/30/2015,1.5,QUIT,126.02
BASI,9/24/2015,1.6965,SELL,126.02
BASI,8/10/2015,1.5699,BUY,116.85
BASI,6/25/2015,1.998,SHORT,96.62
BASI,6/23/2015,2.0362,BUY,98.86
BASI,6/11/2015,2.0954,SELL,99.06
BASI,6/8/2015,2.1545,BUY,102.06
BASI,6/3/2015,2.1255,SELL,102.26
BASI,5/13/2015,2.026,BUY,97.67
BASI,5/8/2015,1.926,SHORT,103.43
BASI,5/5/2015,1.943,BUY,104.76
BASI,4/22/2015,2.0664,SELL,104.97
BASI,4/14/2015,2.024,BUY,103.02
BASI,4/10/2015,2.0063,SELL,103.23
BASI,4/6/2015,2.054,BUY,105.9
BASI,3/11/2015,2.0311,SHORT,107.54
BASI,3/4/2015,2.0048,BUY,106.57
BASI,1/28/2015,2.0901,SHORT,102.8
BASI,1/12/2015,2.2327,BUY,110.25
BASI,12/22/2014,2.2418,SHORT,110.24
BASI,12/18/2014,2.2132,BUY,109.27
BASI,11/17/2014,2.4018,SELL,109.49
BASI,11/12/2014,2.3869,BUY,109.03
BASI,11/7/2014,2.4964,SELL,109.25
BASI,11/4/2014,2.3942,BUY,104.99
BASI,9/25/2014,2.395,SELL,105.2
BASI,9/12/2014,2.2489,BUY,98.98
BASI,8/27/2014,2.3667,SELL,99.18
BASI,8/14/2014,2.2846,BUY,95.93
BASI,7/23/2014,2.302,SHORT,95.59
BASI,7/21/2014,2.379,BUY,99.18
BASI,7/7/2014,2.502,SHORT,94.91
BASI,7/1/2014,2.538,BUY,96.66
BASI,6/5/2014,2.64,SELL,96.85
BASI,6/3/2014,2.715,BUY,99.8
,,,,
BBBY,5/17/2016,42.93,BUY,162.02
BBBY,4/29/2016,47.93,SHORT,147.3
BBBY,4/13/2016,47.27,BUY,145.85
BBBY,4/4/2016,49.32,SHORT,140.59
BBBY,3/30/2016,49.58,BUY,141.9
BBBY,3/9/2016,51.205,SELL,142.18
BBBY,2/16/2016,42.99,BUY,119.61
BBBY,2/11/2016,42.3825,SELL,119.85
BBBY,1/26/2016,43.49,BUY,123.23
BBBY,1/7/2016,46.75,SHORT,115.66
BBBY,1/5/2016,48.52,BUY,120.52
BBBY,12/28/2015,48.73,SHORT,120.48
BBBY,12/22/2015,51.2675,BUY,127.26
BBBY,12/18/2015,51.6499,SHORT,126.83
BBBY,12/16/2015,52.925,BUY,130.48
BBBY,11/30/2015,55.22,SHORT,125.78
BBBY,11/24/2015,54.13,BUY,123.79
BBBY,11/9/2015,60.15,SELL,124.04
BBBY,10/30/2015,58.3,BUY,120.47
BBBY,10/21/2015,58.4,SHORT,120.75
BBBY,10/16/2015,58.06,BUY,120.53
BBBY,10/12/2015,58.91,SHORT,119.29
BBBY,10/1/2015,57.0799,BUY,116.05
BBBY,9/22/2015,60.11,SHORT,110.92
BBBY,9/16/2015,61.865,BUY,114.62
BBBY,7/17/2015,69.1501,SHORT,104.11
BBBY,7/13/2015,68.245,BUY,103.16
BBBY,6/30/2015,69.38,SHORT,101.91
BBBY,6/26/2015,70.865,BUY,104.51
BBBY,6/22/2015,70.62,SHORT,105.29
BBBY,6/12/2015,69.84,BUY,104.54
BBBY,6/2/2015,71.23,SELL,104.75
BBBY,5/28/2015,71.31,BUY,105.08
BBBY,5/20/2015,72.77,SELL,105.29
BBBY,5/15/2015,70.315,BUY,101.94
BBBY,4/9/2015,74.9099,SELL,102.14
BBBY,3/30/2015,75.99,BUY,103.82
BBBY,3/26/2015,74.58,SELL,104.03
BBBY,3/24/2015,75.37,BUY,105.34
BBBY,3/20/2015,75.705,SELL,105.55
BBBY,3/12/2015,74.91,BUY,104.65
BBBY,3/4/2015,74.36,SHORT,105.85
BBBY,2/27/2015,74.42,BUY,106.36
BBBY,2/9/2015,77.81,SELL,106.57
BBBY,2/3/2015,76.27,BUY,104.67
BBBY,1/28/2015,77.34,SELL,104.88
BBBY,1/21/2015,73.62,BUY,100.04
BBBY,1/9/2015,74.985,SELL,100.24
BBBY,1/8/2015,78.46,BUY,105.1
BBBY,1/6/2015,75.75,SELL,105.31
BBBY,12/12/2014,71.86,BUY,100.1
BBBY,12/5/2014,72.5825,SELL,100.3
BBBY,11/20/2014,71.48,BUY,98.97
BBBY,11/18/2014,71.09,SELL,99.17
BBBY,10/21/2014,64.53,BUY,90.2
BBBY,10/10/2014,66.25,SELL,90.38
BBBY,10/8/2014,66.64,BUY,91.09
BBBY,9/30/2014,65.83,SELL,91.27
BBBY,9/24/2014,66.57,BUY,92.48
BBBY,9/19/2014,63.93,SELL,92.67
BBBY,9/16/2014,65.29,BUY,94.83
BBBY,9/12/2014,65.15,SELL,95.02
BBBY,9/4/2014,64.66,BUY,94.49
BBBY,9/2/2014,64.18,SELL,94.68
BBBY,8/19/2014,62.93,BUY,93.02
BBBY,8/15/2014,62.295,SELL,93.21
BBBY,8/8/2014,61.935,BUY,92.86
BBBY,8/1/2014,62.145,SELL,93.05
BBBY,7/11/2014,59.41,BUY,89.13
BBBY,6/30/2014,57.38,SHORT,92.77
BBBY,6/25/2014,61.11,BUY,99.2
BBBY,6/20/2014,60.6199,SHORT,100.41
BBBY,6/17/2014,60.505,BUY,100.62
BBBY,6/10/2014,61.81,SELL,100.82
BBBY,6/4/2014,61.06,BUY,99.8
,,,,
BBC,5/26/2016,20.1199,SELL,258.58
BBC,5/16/2016,17.76,BUY,228.71
BBC,4/26/2016,21.2485,SELL,229.17
BBC,4/22/2016,21.53,BUY,232.67
BBC,4/19/2016,21.0336,SELL,233.14
BBC,3/31/2016,18.8199,BUY,209.02
BBC,3/28/2016,17.7414,SHORT,223.44
BBC,3/21/2016,18.2727,BUY,231.05
BBC,3/16/2016,17.5065,SELL,231.51
BBC,3/14/2016,18.2857,BUY,242.3
BBC,3/9/2016,18.4764,SELL,242.79
BBC,3/2/2016,18.331,BUY,241.36
BBC,2/23/2016,18.4099,SHORT,241.29
BBC,2/12/2016,16.86,BUY,221.86
BBC,2/5/2016,18.39,SHORT,205.64
BBC,2/1/2016,19.2701,BUY,216.35
BBC,12/28/2015,29.0302,SHORT,162.56
BBC,12/15/2015,28.2501,BUY,158.83
BBC,12/7/2015,29.2601,SELL,159.15
BBC,11/18/2015,29.22,BUY,159.25
BBC,11/11/2015,30.523,SELL,159.57
BBC,10/23/2015,26.9421,BUY,141.13
BBC,10/20/2015,26.9956,SHORT,141.42
BBC,10/15/2015,26.278,BUY,138.21
BBC,10/12/2015,27,SHORT,135.15
BBC,10/1/2015,26.55,BUY,133.43
BBC,9/21/2015,33.5241,SELL,133.7
BBC,9/10/2015,32.156,BUY,128.5
BBC,9/3/2015,31.1254,SHORT,133.43
BBC,8/27/2015,30.54,BUY,131.45
BBC,8/19/2015,32.57,SHORT,124.23
BBC,8/17/2015,33.32,BUY,127.6
BBC,7/21/2015,38.6501,SELL,127.86
BBC,6/30/2015,35.261,BUY,116.88
BBC,6/24/2015,37.07,SELL,117.11
BBC,6/22/2015,36.63,BUY,115.95
BBC,6/16/2015,35.37,SELL,116.18
BBC,6/11/2015,35.9911,BUY,118.46
BBC,6/9/2015,36.2601,SELL,118.7
BBC,5/20/2015,33.9099,BUY,111.23
BBC,5/12/2015,33.2,SHORT,114.12
BBC,5/4/2015,31.6128,BUY,109.1
BBC,4/20/2015,34.411,SELL,109.32
BBC,4/8/2015,32.6928,BUY,104.07
BBC,4/2/2015,32.7943,SELL,104.28
BBC,3/27/2015,31.3699,BUY,99.95
BBC,3/23/2015,35,SELL,100.15
BBC,3/17/2015,34.26,BUY,98.23
BBC,3/9/2015,32.77,SELL,98.43
BBC,3/5/2015,33.16,BUY,99.8
,,,,
BBCN,5/18/2016,15.26,BUY,137.68
BBCN,5/12/2016,15.035,SHORT,140.33
BBCN,5/10/2016,15.19,BUY,142.35
BBCN,5/4/2016,15.21,SELL,142.64
BBCN,5/2/2016,15.72,BUY,147.72
BBCN,4/28/2016,15.86,SELL,148.02
BBCN,3/30/2016,14.84,BUY,138.78
BBCN,3/23/2016,15.32,SELL,139.06
BBCN,3/18/2016,15.29,BUY,139.07
BBCN,3/9/2016,14.93,SELL,139.35
BBCN,2/25/2016,14.24,BUY,133.18
BBCN,2/18/2016,14.375,SHORT,132.47
BBCN,2/16/2016,14.45,BUY,133.7
BBCN,2/5/2016,14.85,SHORT,130.72
BBCN,1/28/2016,14.94,BUY,132.04
BBCN,12/11/2015,17.44,SELL,132.3
BBCN,12/8/2015,18.5,BUY,140.62
BBCN,12/2/2015,18.67,SELL,140.9
BBCN,11/18/2015,17.75,BUY,134.23
BBCN,11/12/2015,17.81,SELL,134.5
BBCN,11/4/2015,16.9699,BUY,128.41
BBCN,10/27/2015,17.02,SELL,128.67
BBCN,10/21/2015,16.21,BUY,122.79
BBCN,10/14/2015,15.658,SELL,123.04
BBCN,10/7/2015,15.4599,BUY,121.73
BBCN,9/30/2015,15.0201,SELL,121.97
BBCN,9/23/2015,14.73,BUY,119.85
BBCN,9/17/2015,15.13,SELL,120.09
BBCN,8/28/2015,14.3,BUY,113.73
BBCN,8/19/2015,15.51,SELL,113.96
BBCN,8/17/2015,15.57,BUY,114.63
BBCN,8/12/2015,15.35,SELL,114.86
BBCN,8/10/2015,15.67,BUY,117.49
BBCN,8/6/2015,15.64,SELL,117.73
BBCN,7/31/2015,15.27,BUY,115.18
BBCN,7/24/2015,15.31,SELL,115.41
BBCN,7/9/2015,14.64,BUY,110.58
BBCN,6/29/2015,15.1416,SELL,110.8
BBCN,6/22/2015,14.94,BUY,109.54
BBCN,6/12/2015,15.103,SELL,109.76
BBCN,6/3/2015,14.605,BUY,106.35
BBCN,6/1/2015,14.395,SELL,106.56
BBCN,5/28/2015,14.56,BUY,108
BBCN,5/22/2015,14.6,SELL,108.22
BBCN,5/6/2015,14.21,BUY,105.54
BBCN,4/21/2015,14.48,SELL,105.75
BBCN,4/15/2015,14.685,BUY,107.46
BBCN,4/6/2015,14.44,SELL,107.68
BBCN,3/30/2015,14.38,BUY,107.45
BBCN,3/24/2015,14.3055,SELL,107.67
BBCN,3/6/2015,13.86,BUY,104.53
BBCN,3/4/2015,13.78,SELL,104.74
BBCN,2/24/2015,13.795,BUY,105.06
BBCN,2/19/2015,13.655,SELL,105.27
BBCN,2/12/2015,13.335,BUY,103.01
BBCN,2/9/2015,13.44,SELL,103.22
BBCN,2/3/2015,13.51,BUY,103.97
BBCN,1/28/2015,13.325,SHORT,105.86
BBCN,1/22/2015,13.21,BUY,105.37
BBCN,1/12/2015,13.31,SHORT,105
BBCN,1/8/2015,13.435,BUY,106.41
BBCN,12/12/2014,13.676,SHORT,104.99
